epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,537.334,0.73557,1.92837,1.01381,0.88217,0.29167,0.80976,0.72198,0.50135,2.7022,0.85176,0.00054889,0.00054889,0.00054889
2,1055.47,0.77245,1.37776,1.01168,0.17082,0.52778,0.26023,0.18034,1.22553,4.46041,1.36557,0.00106811,0.00106811,0.00106811
3,1570.79,0.75276,1.12685,1.01058,0.30451,0.75,0.58751,0.4548,0.72707,2.41228,1.03045,0.00155065,0.00155065,0.00155065
4,2154.59,0.74959,0.9675,0.99953,0.69809,0.46495,0.32711,0.18453,1.20821,3.08437,1.65546,0.00150197,0.00150197,0.00150197
5,2721.9,0.72938,0.85856,0.99014,0.45076,0.70833,0.69404,0.61199,0.73415,2.26236,1.0338,0.00144696,0.00144696,0.00144696
6,3297.78,0.69932,0.7612,0.97432,0.86612,0.76021,0.8614,0.78142,0.64571,1.08173,0.90332,0.00139195,0.00139195,0.00139195
7,3988.29,0.66501,0.6717,0.96195,0.79471,0.75649,0.71592,0.62649,0.70916,1.38352,1.01369,0.00133693,0.00133693,0.00133693
8,4577.19,0.64091,0.64759,0.96129,0.8541,0.89506,0.88905,0.81348,0.58377,0.95972,0.99992,0.00128192,0.00128192,0.00128192
9,5173.78,0.61044,0.61026,0.94716,0.61045,1,0.92218,0.8474,0.51647,0.93551,0.83311,0.00122691,0.00122691,0.00122691
10,5737.03,0.61062,0.57164,0.93837,0.92922,0.9845,0.99079,0.87288,0.53872,0.65999,0.88932,0.0011719,0.0011719,0.0011719
11,6298.47,0.58523,0.55004,0.93168,0.80434,0.84405,0.995,0.92121,0.52659,0.75424,0.80599,0.00111689,0.00111689,0.00111689
12,6918.44,0.57758,0.52299,0.93119,0.99414,0.97675,0.995,0.8998,0.53943,0.47921,0.86137,0.00106188,0.00106188,0.00106188
13,7521.07,0.5627,0.51188,0.92876,0.8341,0.88781,0.995,0.8985,0.54028,0.75161,0.8487,0.00100687,0.00100687,0.00100687
14,8121.84,0.55137,0.50383,0.9317,0.97004,1,0.99368,0.94091,0.40299,0.41995,0.77538,0.000951857,0.000951857,0.000951857
15,8639.48,0.52435,0.48472,0.90701,0.77433,0.84253,0.84982,0.78755,0.42763,0.97197,0.77034,0.000896846,0.000896846,0.000896846
16,9151.9,0.52513,0.46673,0.91082,0.93488,0.7577,0.995,0.96196,0.36587,0.82882,0.73887,0.000841835,0.000841835,0.000841835
17,9659.94,0.51628,0.44334,0.9086,0.97022,0.75351,0.995,0.92312,0.46603,0.78713,0.74054,0.000786824,0.000786824,0.000786824
18,10171.2,0.49764,0.44239,0.90967,0.7433,0.97222,0.97435,0.92838,0.39929,0.54188,0.73684,0.000731813,0.000731813,0.000731813
19,10676,0.47857,0.42693,0.89772,0.89978,0.76445,0.98632,0.94145,0.403,0.72688,0.75198,0.000676802,0.000676802,0.000676802
20,11188.2,0.48024,0.40642,0.89798,0.85907,0.97487,0.995,0.96086,0.38916,0.54656,0.73177,0.000621791,0.000621791,0.000621791
21,11689.3,0.43298,0.35147,0.86787,0.94993,0.96454,0.995,0.93301,0.42177,0.40914,0.72224,0.00056678,0.00056678,0.00056678
22,12192.2,0.41537,0.33543,0.85545,0.77364,0.90792,0.995,0.93918,0.43409,0.71432,0.75697,0.000511769,0.000511769,0.000511769
23,12694.1,0.40103,0.32589,0.84532,0.77294,0.8704,0.995,0.9191,0.42289,0.98229,0.75246,0.000456758,0.000456758,0.000456758
24,13198.2,0.3848,0.30896,0.84587,0.98929,1,0.995,0.93904,0.39209,0.34299,0.69955,0.000401747,0.000401747,0.000401747
25,13700.1,0.37811,0.30059,0.83575,0.77525,0.96848,0.995,0.94788,0.39003,0.61399,0.70436,0.000346736,0.000346736,0.000346736
26,14203.3,0.36625,0.28594,0.83543,0.97736,1,0.995,0.95601,0.38351,0.35097,0.68564,0.000291725,0.000291725,0.000291725
27,14701.8,0.36293,0.27891,0.83214,0.77448,0.9697,0.98231,0.94666,0.36602,0.6136,0.69387,0.000236714,0.000236714,0.000236714
28,15202.8,0.34603,0.26491,0.83007,0.88455,0.81887,0.99192,0.95592,0.34925,0.55288,0.6849,0.000181703,0.000181703,0.000181703
29,15698.6,0.32914,0.24871,0.82762,0.85039,0.97449,0.995,0.96497,0.36123,0.44934,0.68223,0.000126692,0.000126692,0.000126692
30,16192.7,0.32122,0.2463,0.8232,0.92297,0.91746,0.995,0.96354,0.36615,0.41123,0.6797,7.1681e-05,7.1681e-05,7.1681e-05
