epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.27611,0.63262,1.7407,1.10405,0.76091,0.66309,0.67189,0.54641,0.80897,1.44336,1.12623,0.000549423,0.000549423,0.000549423
2,15.0732,0.61299,1.07225,1.05767,0.81452,0.67859,0.7599,0.62147,0.89461,1.32143,1.18006,0.00108321,0.00108321,0.00108321
3,21.7308,0.6553,0.95747,1.0898,0.79735,0.71443,0.76565,0.59898,0.82642,1.15109,1.174,0.00159499,0.00159499,0.00159499
4,28.5456,0.59105,0.79405,1.04766,0.84078,0.6906,0.77748,0.62351,0.81112,1.13665,1.06786,0.00156798,0.00156798,0.00156798
5,35.186,0.57121,0.70323,1.03817,0.86445,0.76732,0.85723,0.69922,0.77773,0.87156,1.06134,0.00153497,0.00153497,0.00153497
6,41.7259,0.57248,0.67944,1.03681,0.74598,0.77833,0.83212,0.66988,0.74939,0.89996,1.05119,0.00150197,0.00150197,0.00150197
7,48.2641,0.55053,0.62112,1.02657,0.82645,0.72579,0.82946,0.65725,0.73338,0.93953,1.03097,0.00146896,0.00146896,0.00146896
8,54.7749,0.51274,0.58389,1.01135,0.91895,0.81548,0.87899,0.73087,0.68697,0.69057,0.99015,0.00143595,0.00143595,0.00143595
9,61.2812,0.50796,0.57258,0.9979,0.87905,0.84631,0.89102,0.73992,0.6883,0.68054,0.98108,0.00140295,0.00140295,0.00140295
10,67.8203,0.48285,0.54552,0.98643,0.8709,0.82094,0.87707,0.73727,0.66709,0.65275,0.99308,0.00136994,0.00136994,0.00136994
11,74.5716,0.48584,0.53893,0.98416,0.88772,0.83365,0.88895,0.7517,0.62305,0.65903,0.9427,0.00133693,0.00133693,0.00133693
12,81.4345,0.50119,0.5255,0.9996,0.88729,0.82903,0.89138,0.76721,0.62408,0.60987,0.92163,0.00130393,0.00130393,0.00130393
13,88.1914,0.47358,0.50264,0.98498,0.88179,0.83583,0.9034,0.77067,0.59537,0.59556,0.92714,0.00127092,0.00127092,0.00127092
14,94.8738,0.46264,0.50232,0.98611,0.85717,0.82918,0.87081,0.72964,0.61441,0.71724,0.91644,0.00123791,0.00123791,0.00123791
15,101.53,0.45062,0.48616,0.97819,0.86042,0.83087,0.89568,0.75825,0.63449,0.70349,0.95533,0.00120491,0.00120491,0.00120491
16,108.182,0.44839,0.49015,0.97508,0.89233,0.82712,0.90169,0.76826,0.59537,0.5979,0.91619,0.0011719,0.0011719,0.0011719
17,114.791,0.44632,0.48267,0.97008,0.89934,0.85206,0.89738,0.7734,0.58325,0.56242,0.91418,0.00113889,0.00113889,0.00113889
18,121.711,0.42999,0.44987,0.96064,0.91716,0.86214,0.90615,0.79109,0.54852,0.52146,0.86945,0.00110589,0.00110589,0.00110589
19,128.312,0.42711,0.45831,0.96441,0.90279,0.84598,0.91563,0.80529,0.54723,0.55653,0.87085,0.00107288,0.00107288,0.00107288
20,134.902,0.42932,0.44544,0.95696,0.91267,0.85882,0.90371,0.78117,0.58134,0.61632,0.89105,0.00103987,0.00103987,0.00103987
21,141.577,0.41945,0.43751,0.96487,0.89868,0.86508,0.89736,0.78266,0.55176,0.56606,0.87682,0.00100687,0.00100687,0.00100687
22,148.243,0.41049,0.43278,0.95139,0.90014,0.85498,0.91279,0.80096,0.54183,0.57112,0.87182,0.000973861,0.000973861,0.000973861
23,154.884,0.4068,0.43249,0.94989,0.90978,0.85551,0.91147,0.79641,0.57103,0.62107,0.92227,0.000940855,0.000940855,0.000940855
24,161.42,0.39278,0.40474,0.95232,0.88076,0.86603,0.91564,0.80595,0.51215,0.53278,0.84753,0.000907848,0.000907848,0.000907848
25,168.062,0.40187,0.40625,0.95031,0.8888,0.83636,0.9165,0.80518,0.54353,0.55176,0.87108,0.000874842,0.000874842,0.000874842
26,174.731,0.38692,0.38957,0.93949,0.90589,0.87665,0.91554,0.81064,0.5199,0.54145,0.85507,0.000841835,0.000841835,0.000841835
27,181.32,0.39003,0.37902,0.94158,0.90149,0.8487,0.91994,0.80399,0.53217,0.52163,0.87319,0.000808828,0.000808828,0.000808828
28,187.999,0.38912,0.39499,0.94143,0.90441,0.87255,0.92455,0.81634,0.51822,0.49436,0.86042,0.000775822,0.000775822,0.000775822
29,194.715,0.3784,0.37713,0.93828,0.90816,0.87572,0.91809,0.81427,0.48597,0.53393,0.8403,0.000742815,0.000742815,0.000742815
30,201.244,0.36626,0.37289,0.9386,0.92211,0.87447,0.93513,0.82725,0.49396,0.46962,0.84706,0.000709809,0.000709809,0.000709809
31,207.767,0.37534,0.36749,0.94025,0.86826,0.88024,0.93137,0.8231,0.49108,0.5206,0.8334,0.000676802,0.000676802,0.000676802
32,214.233,0.37285,0.38384,0.93528,0.88875,0.87382,0.93111,0.8266,0.49423,0.53807,0.8383,0.000643795,0.000643795,0.000643795
